A,_COA_DEPT_,AID[1-4]_DLY_COA_DEPT_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_agency_feed.txt
D,_COA_APPR_,AID[1-4]_DLY_COA_APPR_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_department_feed.txt
E,_COA_OBJ_,AID[1-4]_DLY_COA_OBJ_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_expenditure_object_feed.txt
L,_COA_LOC_,AID[1-4]_DLY_COA_LOC_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_location_object_feed.txt
O,_COA_OCLS_,AIOC_DLY_COA_OCLS_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_object_class_feed.txt
V,_VEND_,AIV((0_DLY)|(1_WKLY)|(2_MTHLY))_VEND_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,FMSV_feed.txt
M,_MA_,AI((DP_DLY)|(MP_MTHLY))_PCO_MA_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,MAG_feed.txt
C,_PO_,AI((DP_DLY)|(MP_MTHLY))_PCO_PO_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,CON_feed.txt
F,_MMDSB,AI[DPX]M_DLY_MMDSB(|P|X)_((AD)|(DC)|(MD))_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,FMS_feed.txt
P,PAYROLL,PAYROLL_A015_%_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,PMS_feed.txt
B,_BUDGET_,AID[1-4]_DLY_BUDGET_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,BUDGET_feed.txt
RY,_COA_REV_CATEGORY_,AID[1-4]_DLY_COA_REV_CATEGORY_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_revenue_category_feed.txt
RC,_COA_REV_CLASS_,AID[1-4]_DLY_COA_REV_CLASS_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_revenue_class_feed.txt
RS,_COA_REV_SOURCE_,AID[1-4]_DLY_COA_REV_SOURCE_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_revenue_source_feed.txt
BC,_COA_BUD_CODE_,AID[1-4]_DLY_COA_BUD_CODE_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,COA_budget_code_feed.txt
R,_JL_JL_,AIDJ_((DLY)|(MTHLY))_JL_JL_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9]_20[0-9][0-9][0-1][0-9][0-3][0-9][0-2][0-9][0-5][0-9][0-5][0-9].ASC,Revenue_feed.txt
