Data Source Name,Agency Number,Registration Contract ID,Commodity Line,OGE Contract #,Contract Purpose,Budget Name,OGE Registered Amt,Prime Contractor Name,Prime Contractor Address,Prime Contractor City,Prime Contractor State,Prime Contractor Zip
NYCEDC,z81,CTA180120100003482, 3,1850118,28th Avenue and Linden Place Area,28th Avenue and Linden Place Area, 5981975.5,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100003482, 2,30230001,132nd St Construction  - 20th Ave to Linden Place,132nd St Construction  - 20th Ave to Linden Place, 21833.0,RBA GROUP,27 UNION SQUARE WEST,NEW YORK,NY,10003
NYCEDC,z81,CTA180120100003482, 1,30230001,132nd St Construction  - 20th Ave to Linden Place,132nd St Construction  - 20th Ave to Linden Place, 391387.26,RBA GROUP,27 UNION SQUARE WEST,NEW YORK,NY,10003
NYCEDC,z81,CTA180120100003482, 4,1850118,28th Avenue and Linden Place Area,28th Avenue and Linden Place Area, 33308.75,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100007493, 5,23960001,SBMT - Bulkhead Rehabilitation,SBMT - Bulkhead Rehabilitation, 543779.1,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100007493, 3,23960001,SBMT - Bulkhead Rehabilitation,SBMT - Bulkhead Rehabilitation, 188931.28,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100007493, 1,23960001,SBMT - Bulkhead Rehabilitation,SBMT - Bulkhead Rehabilitation, 14295700.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100007493, 7,23960001,SBMT - Bulkhead Rehabilitation,SBMT - Bulkhead Rehabilitation, 54876.0,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100007493, 6,33630002,SBMT - Bulkhead Rehabilitation,SBMT - Bulkhead Rehabilitation, 35470.0,"LOUIS BERGER GROUP, INC","199  WATER STREET, 23RD FLOOR",NEW YORK,NY,10038
NYCEDC,z81,CTA180120100007493, 4,23960001,SBMT - Bulkhead Rehabilitation,SBMT - Bulkhead Rehabilitation, 25499.74,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100007493, 2,23960001,SBMT - Bulkhead Rehabilitation,SBMT - Bulkhead Rehabilitation, 394739.6,To Be Announced,N/A,N/A,N/A,N/A
NYCEDC,z81,CTA180120100011658, 2,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 839850.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
NYCEDC,z81,CTA180120100011658, 5,16850006,St. George Ferry Terminal - Retail,St. George Ferry Terminal - Retail, 388118.0,"HUNTER ROBERTS CONSTRUCTION GROUP, LLC",2 WORLD FINANCIAL CENTER,NEW YORK,NY,10281
